sample_id,depth_m,lithology,porosity_pct,permeability_mD,grain_density_g_cm3,water_saturation_pct
S001,2498.6,Sandstone,21.9,57.58,2.615,66.8
S002,2502.8,Dolomite,19.27,9.24,2.604,30.3
S003,2505.9,Dolomite,18.15,13.08,2.667,34.5
S004,2510.1,Sandstone,28.34,207.64,2.651,25.9
S005,2511.8,Sandstone,30.8,304.07,2.652,33.5
S006,2515.6,Shale,5.22,0.1,2.746,41.5
S007,2518.9,Limestone,19.46,20.78,2.706,18.2
S008,2523.6,Limestone,10.38,0.07,2.728,75.7
S009,2524.3,Sandstone,14.64,0.13,2.631,33.7
S010,2528.3,Sandstone,30.23,728.93,2.626,66.0
S011,2529.9,Dolomite,8.58,0.01,2.649,68.8
S012,2535.3,Sandstone,5.57,1.2,2.66,19.6
S013,2537.8,Sandstone,29.57,36.7,2.659,79.0
S014,2538.9,Limestone,16.85,1.37,2.712,52.7
S015,2542.3,Limestone,24.92,10.54,2.75,50.7
S016,2547.9,Sandstone,6.55,0.21,2.623,26.2
S017,2551.6,Dolomite,23.05,9.36,2.679,83.0
S018,2553.4,Sandstone,28.1,75.56,2.617,76.9
S019,2555.5,Limestone,25.02,65.58,2.668,81.8
S020,2560.8,Limestone,28.52,54.27,2.714,50.5
S021,2562.4,Dolomite,6.98,0.02,2.623,68.4
S022,2566.8,Dolomite,19.1,1.12,2.69,49.2
S023,2567.2,Limestone,7.13,0.01,2.636,54.7
S024,2572.6,Shale,6.21,1.79,2.747,52.3
S025,2573.5,Sandstone,7.52,0.02,2.731,44.6
S026,2578.5,Dolomite,9.93,0.02,2.703,64.9
S027,2580.4,Dolomite,15.17,1.0,2.637,19.5
S028,2582.6,Dolomite,4.59,0.02,2.633,20.0
S029,2585.1,Limestone,21.67,26.45,2.636,61.8
S030,2590.8,Sandstone,10.0,6.19,2.732,55.3
S031,2591.4,Sandstone,10.8,0.1,2.665,44.7
S032,2596.8,Sandstone,17.08,4.63,2.748,21.9
S033,2598.0,Sandstone,15.27,0.45,2.68,24.8
S034,2601.3,Shale,9.14,2.41,2.738,46.0
S035,2606.7,Dolomite,28.12,108.21,2.745,79.8
S036,2608.1,Sandstone,27.76,127.02,2.672,75.5
S037,2610.7,Shale,29.27,257.42,2.718,46.9
S038,2615.3,Dolomite,15.84,2.57,2.673,28.3
S039,2618.8,Sandstone,10.1,2.68,2.609,55.9
S040,2619.5,Dolomite,18.08,11.58,2.744,20.6
S041,2623.6,Sandstone,9.2,0.04,2.741,54.9
S042,2627.6,Sandstone,20.21,3.35,2.663,55.9
S043,2629.2,Limestone,18.64,14.72,2.659,62.0
S044,2635.0,Limestone,12.4,0.5,2.74,15.7
S045,2635.3,Dolomite,21.39,9.0,2.64,80.3
S046,2639.0,Sandstone,28.66,155.89,2.624,73.4
S047,2640.6,Dolomite,23.7,1.59,2.723,36.0
S048,2644.8,Sandstone,22.57,1.74,2.733,67.0
S049,2647.6,Limestone,8.35,0.15,2.695,33.5
S050,2650.3,Sandstone,17.68,11.39,2.664,34.4
S051,2653.6,Limestone,4.1,0.05,2.666,64.4
S052,2656.4,Sandstone,19.71,1.29,2.732,78.3
S053,2660.9,Sandstone,19.28,19.68,2.606,40.5
